Nodenum,X_Lon,Y_Lon,type,flow,cost
0,na,na,na,0.0,1000
1,na,na,na,487.0,1000
2,na,na,na,356.0,1000
3,na,na,na,-335.0,1000
4,na,na,na,218.0,1000
5,na,na,na,824.0,1000
6,na,na,na,0.0,1000
7,na,na,na,-475.0,1000
8,na,na,na,-211.0,1000
9,na,na,na,-245.0,1000
10,na,na,na,-522.0,1000
11,na,na,na,-192.0,1000
12,na,na,na,0.0,1000
13,na,na,na,-138.0,1000
14,na,na,na,0.0,1000
15,na,na,na,0.0,1000
16,na,na,na,0.0,1000
17,na,na,na,-77.0,1000
18,na,na,na,-302.0,1000
19,na,na,na,-390.0,1000
20,na,na,na,-374.0,1000
21,na,na,na,184.0,1000
22,na,na,na,-200.0,1000
23,na,na,na,-5.0,1000
24,na,na,na,-189.0,1000
25,na,na,na,339.0,1000
26,na,na,na,-99.0,1000
27,na,na,na,220.0,1000
28,na,na,na,0.0,1000
29,na,na,na,0.0,1000
30,na,na,na,-112.0,1000
31,na,na,na,-218.0,1000
32,na,na,na,-11.0,1000
33,na,na,na,0.0,1000
34,na,na,na,339.0,1000
35,na,na,na,648.0,1000
36,na,na,na,455.0,1000
37,na,na,na,0.0,1000
38,na,na,na,0.0,1000
39,na,na,na,0.0,1000
40,na,na,na,104.0,1000
41,na,na,na,0.0,1000
42,na,na,na,0.0,1000
43,na,na,na,-65.0,1000
44,na,na,na,-401.0,1000
45,na,na,na,-54.0,1000
46,na,na,na,-212.0,1000
47,na,na,na,0.0,1000
48,na,na,na,-177.0,1000
49,na,na,na,-364.0,1000
50,na,na,na,556.0,1000
51,na,na,na,-365.0,1000
52,na,na,na,-108.0,1000
53,na,na,na,-17.0,1000
54,na,na,na,37.0,1000
55,na,na,na,0.0,1000
56,na,na,na,730.0,1000
57,na,na,na,-391.0,1000
58,na,na,na,0.0,1000
59,na,na,na,-38.0,1000
60,na,na,na,0.0,1000
61,na,na,na,0.0,1000
62,na,na,na,-113.0,1000
63,na,na,na,0.0,1000
64,na,na,na,-680.0,1000
65,na,na,na,-150.0,1000
66,na,na,na,-64.0,1000
67,na,na,na,0.0,1000
68,na,na,na,-154.0,1000
69,na,na,na,-275.0,1000
70,na,na,na,592.0,1000
71,na,na,na,-397.0,1000
72,na,na,na,-141.0,1000
73,na,na,na,147.0,1000
74,na,na,na,-112.0,1000
75,na,na,na,-272.0,1000
76,na,na,na,-327.0,1000
77,na,na,na,-190.0,1000
78,na,na,na,418.0,1000
79,na,na,na,0.0,1000
80,na,na,na,-65.0,1000
81,na,na,na,403.0,1000
82,na,na,na,-49.0,1000
83,na,na,na,0.0,1000
84,na,na,na,0.0,1000
85,na,na,na,0.0,1000
86,na,na,na,0.0,1000
87,na,na,na,-284.0,1000
88,na,na,na,681.0,1000
89,na,na,na,-117.0,1000
90,na,na,na,-323.0,1000
91,na,na,na,173.0,1000
92,na,na,na,333.0,1000
93,na,na,na,0.0,1000
94,na,na,na,0.0,1000
95,na,na,na,0.0,1000
96,na,na,na,0.0,1000
97,na,na,na,0.0,1000
98,na,na,na,0.0,1000
99,na,na,na,0.0,1000
100,na,na,na,0.0,1000
101,na,na,na,0.0,1000
102,na,na,na,492.0,1000
103,na,na,na,289.0,1000
104,na,na,na,0.0,1000
105,na,na,na,0.0,1000
106,na,na,na,0.0,1000
107,na,na,na,0.0,1000
108,na,na,na,0.0,1000
109,na,na,na,0.0,1000
110,na,na,na,0.0,1000
111,na,na,na,0.0,1000
112,na,na,na,0.0,1000
113,na,na,na,0.0,1000
114,na,na,na,1975.0,1000
115,na,na,na,0.0,1000
116,na,na,na,0.0,1000
117,na,na,na,0.0,1000
118,na,na,na,0.0,1000
119,na,na,na,0.0,1000
