fromnode,tonode,direction,length,capacity,cost
0,31,na,27,2000,1000
0,84,na,35,2000,1000
1,20,na,29,2000,1000
1,33,na,14,2000,1000
1,39,na,52,2000,1000
1,68,na,12,2000,1000
1,95,na,19,2000,1000
1,96,na,15,2000,1000
1,109,na,24,2000,1000
1,114,na,13,2000,1000
1,118,na,26,2000,1000
2,24,na,29,2000,1000
2,29,na,28,2000,1000
2,32,na,28,2000,1000
2,44,na,14,2000,1000
2,57,na,28,2000,1000
2,59,na,21,2000,1000
2,101,na,15,2000,1000
3,23,na,22,2000,1000
3,37,na,34,2000,1000
3,59,na,26,2000,1000
3,61,na,11,2000,1000
3,64,na,26,2000,1000
3,92,na,28,2000,1000
4,70,na,15,2000,1000
4,71,na,39,2000,1000
4,83,na,22,2000,1000
4,103,na,24,2000,1000
4,109,na,23,2000,1000
5,19,na,15,2000,1000
5,34,na,34,2000,1000
5,61,na,19,2000,1000
5,90,na,23,2000,1000
5,113,na,27,2000,1000
6,11,na,39,2000,1000
7,17,na,38,2000,1000
7,20,na,30,2000,1000
7,36,na,32,2000,1000
7,97,na,27,2000,1000
7,107,na,26,2000,1000
7,113,na,22,2000,1000
8,36,na,31,2000,1000
9,54,na,46,2000,1000
9,61,na,26,2000,1000
9,63,na,29,2000,1000
9,110,na,30,2000,1000
10,19,na,24,2000,1000
10,36,na,14,2000,1000
10,43,na,17,2000,1000
10,71,na,23,2000,1000
10,116,na,20,2000,1000
11,13,na,23,2000,1000
11,31,na,15,2000,1000
11,46,na,30,2000,1000
11,48,na,14,2000,1000
11,50,na,51,2000,1000
11,67,na,15,2000,1000
11,68,na,28,2000,1000
11,97,na,19,2000,1000
12,21,na,17,2000,1000
12,58,na,43,2000,1000
12,76,na,17,2000,1000
12,109,na,28,2000,1000
13,50,na,35,2000,1000
13,51,na,33,2000,1000
13,78,na,31,2000,1000
13,91,na,11,2000,1000
14,32,na,8,2000,1000
14,61,na,24,2000,1000
14,70,na,31,2000,1000
14,84,na,15,2000,1000
14,96,na,31,2000,1000
15,28,na,30,2000,1000
15,47,na,12,2000,1000
15,56,na,22,2000,1000
15,113,na,21,2000,1000
15,114,na,27,2000,1000
16,17,na,21,2000,1000
16,18,na,23,2000,1000
16,39,na,15,2000,1000
16,45,na,21,2000,1000
16,98,na,31,2000,1000
16,105,na,31,2000,1000
17,19,na,23,2000,1000
17,31,na,20,2000,1000
17,51,na,26,2000,1000
17,55,na,26,2000,1000
17,113,na,9,2000,1000
18,29,na,14,2000,1000
18,55,na,18,2000,1000
19,31,na,30,2000,1000
19,38,na,5,2000,1000
19,69,na,32,2000,1000
19,76,na,20,2000,1000
20,59,na,22,2000,1000
20,74,na,36,2000,1000
20,79,na,34,2000,1000
20,89,na,41,2000,1000
20,95,na,19,2000,1000
20,96,na,24,2000,1000
20,104,na,27,2000,1000
21,28,na,13,2000,1000
21,40,na,33,2000,1000
21,41,na,22,2000,1000
21,88,na,3,2000,1000
21,89,na,17,2000,1000
21,112,na,21,2000,1000
22,56,na,22,2000,1000
22,77,na,20,2000,1000
22,79,na,22,2000,1000
22,102,na,33,2000,1000
22,104,na,23,2000,1000
23,42,na,25,2000,1000
23,73,na,38,2000,1000
24,31,na,22,2000,1000
24,32,na,30,2000,1000
24,77,na,30,2000,1000
25,55,na,37,2000,1000
25,73,na,3,2000,1000
25,114,na,28,2000,1000
26,33,na,22,2000,1000
26,44,na,22,2000,1000
26,48,na,33,2000,1000
26,71,na,36,2000,1000
26,84,na,29,2000,1000
26,102,na,28,2000,1000
27,76,na,17,2000,1000
27,83,na,6,2000,1000
27,87,na,21,2000,1000
27,113,na,29,2000,1000
28,89,na,35,2000,1000
28,109,na,18,2000,1000
28,114,na,19,2000,1000
29,38,na,16,2000,1000
29,53,na,15,2000,1000
29,63,na,16,2000,1000
29,83,na,16,2000,1000
29,93,na,26,2000,1000
30,50,na,33,2000,1000
30,100,na,29,2000,1000
31,35,na,27,2000,1000
31,72,na,28,2000,1000
31,101,na,26,2000,1000
31,109,na,22,2000,1000
32,89,na,16,2000,1000
33,37,na,23,2000,1000
33,38,na,30,2000,1000
33,52,na,46,2000,1000
33,54,na,19,2000,1000
34,52,na,29,2000,1000
34,62,na,33,2000,1000
34,67,na,36,2000,1000
34,111,na,37,2000,1000
35,67,na,29,2000,1000
35,117,na,10,2000,1000
36,58,na,18,2000,1000
36,74,na,34,2000,1000
36,98,na,19,2000,1000
36,112,na,31,2000,1000
37,43,na,24,2000,1000
37,46,na,16,2000,1000
38,40,na,34,2000,1000
38,47,na,13,2000,1000
38,71,na,46,2000,1000
38,85,na,37,2000,1000
38,103,na,24,2000,1000
38,110,na,10,2000,1000
39,42,na,36,2000,1000
39,56,na,16,2000,1000
40,48,na,30,2000,1000
40,66,na,25,2000,1000
40,85,na,32,2000,1000
40,86,na,22,2000,1000
40,87,na,22,2000,1000
41,43,na,38,2000,1000
41,61,na,19,2000,1000
41,73,na,43,2000,1000
41,110,na,30,2000,1000
41,119,na,40,2000,1000
42,48,na,27,2000,1000
42,70,na,31,2000,1000
42,94,na,25,2000,1000
42,104,na,28,2000,1000
42,109,na,32,2000,1000
42,118,na,13,2000,1000
43,77,na,21,2000,1000
43,86,na,44,2000,1000
43,105,na,31,2000,1000
43,116,na,19,2000,1000
44,45,na,16,2000,1000
45,54,na,19,2000,1000
45,65,na,44,2000,1000
45,118,na,13,2000,1000
46,72,na,16,2000,1000
46,75,na,23,2000,1000
47,82,na,27,2000,1000
47,91,na,40,2000,1000
47,118,na,13,2000,1000
48,57,na,27,2000,1000
48,62,na,16,2000,1000
48,103,na,15,2000,1000
48,112,na,23,2000,1000
49,89,na,32,2000,1000
49,97,na,38,2000,1000
50,53,na,11,2000,1000
50,60,na,38,2000,1000
50,65,na,13,2000,1000
50,80,na,17,2000,1000
50,83,na,30,2000,1000
50,84,na,24,2000,1000
50,89,na,29,2000,1000
50,98,na,32,2000,1000
50,99,na,30,2000,1000
50,109,na,24,2000,1000
50,110,na,13,2000,1000
51,60,na,30,2000,1000
51,69,na,23,2000,1000
51,70,na,3,2000,1000
52,63,na,48,2000,1000
52,68,na,23,2000,1000
52,85,na,32,2000,1000
53,62,na,14,2000,1000
53,74,na,12,2000,1000
53,115,na,27,2000,1000
54,56,na,30,2000,1000
54,113,na,35,2000,1000
56,96,na,29,2000,1000
56,111,na,23,2000,1000
57,118,na,16,2000,1000
58,76,na,31,2000,1000
58,113,na,30,2000,1000
59,84,na,35,2000,1000
60,84,na,26,2000,1000
60,93,na,20,2000,1000
60,103,na,13,2000,1000
60,106,na,35,2000,1000
60,112,na,33,2000,1000
61,69,na,30,2000,1000
61,74,na,18,2000,1000
61,82,na,29,2000,1000
61,106,na,21,2000,1000
61,118,na,30,2000,1000
62,97,na,17,2000,1000
62,119,na,24,2000,1000
64,90,na,39,2000,1000
65,83,na,47,2000,1000
65,117,na,22,2000,1000
66,111,na,26,2000,1000
67,106,na,13,2000,1000
67,118,na,29,2000,1000
68,89,na,24,2000,1000
69,70,na,33,2000,1000
69,75,na,23,2000,1000
69,77,na,20,2000,1000
69,79,na,46,2000,1000
69,97,na,31,2000,1000
69,111,na,18,2000,1000
69,112,na,24,2000,1000
70,74,na,37,2000,1000
70,81,na,42,2000,1000
70,100,na,33,2000,1000
71,104,na,41,2000,1000
71,114,na,26,2000,1000
72,75,na,23,2000,1000
73,100,na,11,2000,1000
