fromnode,tonode,direction,length,capacity,cost
0,31,na,19,2000,1000
0,84,na,28,2000,1000
1,20,na,23,2000,1000
1,33,na,21,2000,1000
1,39,na,27,2000,1000
1,68,na,30,2000,1000
1,95,na,37,2000,1000
1,96,na,31,2000,1000
1,109,na,29,2000,1000
1,114,na,43,2000,1000
1,118,na,23,2000,1000
2,24,na,25,2000,1000
2,29,na,12,2000,1000
2,32,na,48,2000,1000
2,44,na,30,2000,1000
2,57,na,3,2000,1000
2,59,na,28,2000,1000
2,101,na,29,2000,1000
3,23,na,36,2000,1000
3,37,na,36,2000,1000
3,59,na,28,2000,1000
3,61,na,22,2000,1000
3,64,na,35,2000,1000
3,92,na,31,2000,1000
4,70,na,23,2000,1000
4,71,na,35,2000,1000
4,83,na,2,2000,1000
4,103,na,37,2000,1000
4,109,na,26,2000,1000
5,19,na,41,2000,1000
5,34,na,29,2000,1000
5,61,na,37,2000,1000
5,90,na,22,2000,1000
5,113,na,25,2000,1000
6,11,na,39,2000,1000
7,17,na,20,2000,1000
7,20,na,3,2000,1000
7,36,na,14,2000,1000
7,97,na,22,2000,1000
7,107,na,22,2000,1000
7,113,na,21,2000,1000
8,36,na,31,2000,1000
9,54,na,47,2000,1000
9,61,na,23,2000,1000
9,63,na,21,2000,1000
9,110,na,7,2000,1000
10,19,na,21,2000,1000
10,36,na,25,2000,1000
10,43,na,43,2000,1000
10,71,na,23,2000,1000
10,116,na,40,2000,1000
11,13,na,17,2000,1000
11,31,na,14,2000,1000
11,46,na,33,2000,1000
11,48,na,44,2000,1000
11,50,na,40,2000,1000
11,67,na,29,2000,1000
11,68,na,19,2000,1000
11,97,na,19,2000,1000
12,21,na,21,2000,1000
12,58,na,13,2000,1000
12,76,na,33,2000,1000
12,109,na,21,2000,1000
13,50,na,36,2000,1000
13,51,na,44,2000,1000
13,78,na,16,2000,1000
13,91,na,29,2000,1000
14,32,na,6,2000,1000
14,61,na,23,2000,1000
14,70,na,38,2000,1000
14,84,na,6,2000,1000
14,96,na,10,2000,1000
15,28,na,41,2000,1000
15,47,na,29,2000,1000
15,56,na,18,2000,1000
15,113,na,15,2000,1000
15,114,na,12,2000,1000
16,17,na,27,2000,1000
16,18,na,28,2000,1000
16,39,na,15,2000,1000
16,45,na,22,2000,1000
16,98,na,17,2000,1000
16,105,na,37,2000,1000
17,19,na,18,2000,1000
17,31,na,31,2000,1000
17,51,na,19,2000,1000
17,55,na,33,2000,1000
17,113,na,18,2000,1000
18,29,na,43,2000,1000
18,55,na,21,2000,1000
19,31,na,33,2000,1000
19,38,na,33,2000,1000
19,69,na,19,2000,1000
19,76,na,29,2000,1000
20,59,na,24,2000,1000
20,74,na,28,2000,1000
20,79,na,31,2000,1000
20,89,na,24,2000,1000
20,95,na,37,2000,1000
20,96,na,14,2000,1000
20,104,na,23,2000,1000
21,28,na,33,2000,1000
21,40,na,30,2000,1000
21,41,na,16,2000,1000
21,88,na,32,2000,1000
21,89,na,34,2000,1000
21,112,na,25,2000,1000
22,56,na,25,2000,1000
22,77,na,21,2000,1000
22,79,na,21,2000,1000
22,102,na,8,2000,1000
22,104,na,20,2000,1000
23,42,na,27,2000,1000
23,73,na,18,2000,1000
24,31,na,29,2000,1000
24,32,na,15,2000,1000
24,77,na,15,2000,1000
25,55,na,32,2000,1000
25,73,na,17,2000,1000
25,114,na,34,2000,1000
26,33,na,42,2000,1000
26,44,na,19,2000,1000
26,48,na,23,2000,1000
26,71,na,28,2000,1000
26,84,na,25,2000,1000
26,102,na,23,2000,1000
27,76,na,12,2000,1000
27,83,na,20,2000,1000
27,87,na,40,2000,1000
27,113,na,19,2000,1000
28,89,na,28,2000,1000
28,109,na,13,2000,1000
28,114,na,14,2000,1000
29,38,na,28,2000,1000
29,53,na,27,2000,1000
29,63,na,25,2000,1000
29,83,na,23,2000,1000
29,93,na,19,2000,1000
30,50,na,14,2000,1000
30,100,na,29,2000,1000
31,35,na,29,2000,1000
31,72,na,29,2000,1000
31,101,na,9,2000,1000
31,109,na,4,2000,1000
32,89,na,31,2000,1000
33,37,na,30,2000,1000
