fromnode,tonode,direction,length,capacity,cost
0,1,na,10,2000,1000
0,119,na,13,2000,1000
0,114,na,22,2000,1000
0,27,na,21,2000,1000
0,90,na,21,2000,1000
1,2,na,18,2000,1000
1,75,na,6,2000,1000
2,3,na,34,2000,1000
2,70,na,12,2000,1000
3,4,na,8,2000,1000
3,17,na,25,2000,1000
4,5,na,12,2000,1000
4,101,na,33,2000,1000
5,6,na,51,2000,1000
5,109,na,15,2000,1000
6,7,na,19,2000,1000
6,41,na,31,2000,1000
7,8,na,10,2000,1000
7,20,na,14,2000,1000
8,9,na,19,2000,1000
9,10,na,11,2000,1000
10,11,na,29,2000,1000
10,16,na,32,2000,1000
11,12,na,24,2000,1000
11,37,na,32,2000,1000
12,13,na,16,2000,1000
12,64,na,7,2000,1000
13,14,na,34,2000,1000
14,15,na,33,2000,1000
14,106,na,31,2000,1000
15,16,na,4,2000,1000
16,17,na,23,2000,1000
17,18,na,22,2000,1000
18,19,na,13,2000,1000
18,110,na,27,2000,1000
19,20,na,28,2000,1000
19,98,na,20,2000,1000
20,21,na,22,2000,1000
20,72,na,29,2000,1000
21,22,na,21,2000,1000
21,114,na,27,2000,1000
21,87,na,14,2000,1000
22,23,na,53,2000,1000
23,24,na,27,2000,1000
24,25,na,37,2000,1000
24,69,na,25,2000,1000
25,26,na,17,2000,1000
26,27,na,12,2000,1000
27,28,na,13,2000,1000
28,29,na,21,2000,1000
28,45,na,35,2000,1000
28,61,na,23,2000,1000
29,30,na,15,2000,1000
30,31,na,21,2000,1000
31,32,na,25,2000,1000
32,33,na,36,2000,1000
32,49,na,30,2000,1000
33,34,na,31,2000,1000
34,35,na,12,2000,1000
35,36,na,19,2000,1000
36,37,na,14,2000,1000
36,88,na,39,2000,1000
37,38,na,41,2000,1000
37,85,na,34,2000,1000
38,39,na,11,2000,1000
38,85,na,16,2000,1000
39,40,na,0,2000,1000
39,64,na,34,2000,1000
40,41,na,37,2000,1000
41,42,na,31,2000,1000
42,43,na,20,2000,1000
42,70,na,3,2000,1000
42,44,na,4,2000,1000
43,44,na,41,2000,1000
43,112,na,24,2000,1000
43,77,na,24,2000,1000
44,45,na,50,2000,1000
45,46,na,38,2000,1000
46,47,na,17,2000,1000
47,48,na,11,2000,1000
47,70,na,8,2000,1000
48,49,na,20,2000,1000
48,99,na,43,2000,1000
49,50,na,25,2000,1000
50,51,na,32,2000,1000
50,82,na,22,2000,1000
51,52,na,26,2000,1000
51,76,na,27,2000,1000
52,53,na,38,2000,1000
52,108,na,24,2000,1000
53,54,na,17,2000,1000
53,82,na,20,2000,1000
54,55,na,32,2000,1000
55,56,na,9,2000,1000
55,112,na,17,2000,1000
56,57,na,44,2000,1000
56,100,na,9,2000,1000
57,58,na,24,2000,1000
58,59,na,40,2000,1000
59,60,na,8,2000,1000
59,107,na,9,2000,1000
60,61,na,15,2000,1000
60,69,na,39,2000,1000
61,62,na,40,2000,1000
62,63,na,6,2000,1000
63,64,na,30,2000,1000
64,65,na,14,2000,1000
64,93,na,26,2000,1000
65,66,na,21,2000,1000
66,67,na,23,2000,1000
67,68,na,25,2000,1000
68,69,na,16,2000,1000
68,108,na,11,2000,1000
69,70,na,26,2000,1000
69,94,na,24,2000,1000
69,109,na,26,2000,1000
70,71,na,17,2000,1000
71,72,na,29,2000,1000
72,73,na,25,2000,1000
73,74,na,38,2000,1000
73,107,na,8,2000,1000
74,75,na,14,2000,1000
74,107,na,19,2000,1000
75,76,na,43,2000,1000
76,77,na,23,2000,1000
77,78,na,20,2000,1000
77,102,na,25,2000,1000
78,79,na,16,2000,1000
79,80,na,15,2000,1000
80,81,na,17,2000,1000
81,82,na,28,2000,1000
81,86,na,36,2000,1000
82,83,na,48,2000,1000
82,87,na,27,2000,1000
83,84,na,30,2000,1000
84,85,na,32,2000,1000
85,86,na,25,2000,1000
86,87,na,24,2000,1000
87,88,na,27,2000,1000
88,89,na,35,2000,1000
89,90,na,29,2000,1000
90,91,na,14,2000,1000
91,92,na,52,2000,1000
91,115,na,12,2000,1000
92,93,na,19,2000,1000
93,94,na,15,2000,1000
94,95,na,24,2000,1000
95,96,na,13,2000,1000
95,104,na,26,2000,1000
96,97,na,29,2000,1000
97,98,na,28,2000,1000
98,99,na,28,2000,1000
99,100,na,14,2000,1000
100,101,na,28,2000,1000
101,102,na,21,2000,1000
102,103,na,15,2000,1000
103,104,na,22,2000,1000
104,105,na,34,2000,1000
105,106,na,26,2000,1000
105,108,na,11,2000,1000
106,107,na,26,2000,1000
107,108,na,28,2000,1000
108,109,na,15,2000,1000
109,110,na,39,2000,1000
110,111,na,22,2000,1000
111,112,na,24,2000,1000
111,116,na,23,2000,1000
112,113,na,15,2000,1000
113,114,na,34,2000,1000
114,115,na,19,2000,1000
115,116,na,23,2000,1000
116,117,na,27,2000,1000
117,118,na,39,2000,1000
1,0,na,10,2000,1000
119,0,na,13,2000,1000
114,0,na,22,2000,1000
27,0,na,21,2000,1000
90,0,na,21,2000,1000
2,1,na,18,2000,1000
75,1,na,6,2000,1000
3,2,na,34,2000,1000
70,2,na,12,2000,1000
4,3,na,8,2000,1000
17,3,na,25,2000,1000
5,4,na,12,2000,1000
101,4,na,33,2000,1000
6,5,na,51,2000,1000
109,5,na,15,2000,1000
7,6,na,19,2000,1000
41,6,na,31,2000,1000
8,7,na,10,2000,1000
20,7,na,14,2000,1000
9,8,na,19,2000,1000
10,9,na,11,2000,1000
11,10,na,29,2000,1000
16,10,na,32,2000,1000
12,11,na,24,2000,1000
37,11,na,32,2000,1000
13,12,na,16,2000,1000
64,12,na,7,2000,1000
14,13,na,34,2000,1000
15,14,na,33,2000,1000
106,14,na,31,2000,1000
16,15,na,4,2000,1000
17,16,na,23,2000,1000
18,17,na,22,2000,1000
19,18,na,13,2000,1000
110,18,na,27,2000,1000
20,19,na,28,2000,1000
98,19,na,20,2000,1000
21,20,na,22,2000,1000
72,20,na,29,2000,1000
22,21,na,21,2000,1000
114,21,na,27,2000,1000
87,21,na,14,2000,1000
23,22,na,53,2000,1000
24,23,na,27,2000,1000
25,24,na,37,2000,1000
69,24,na,25,2000,1000
26,25,na,17,2000,1000
27,26,na,12,2000,1000
28,27,na,13,2000,1000
29,28,na,21,2000,1000
45,28,na,35,2000,1000
61,28,na,23,2000,1000
30,29,na,15,2000,1000
31,30,na,21,2000,1000
32,31,na,25,2000,1000
33,32,na,36,2000,1000
49,32,na,30,2000,1000
34,33,na,31,2000,1000
35,34,na,12,2000,1000
36,35,na,19,2000,1000
37,36,na,14,2000,1000
88,36,na,39,2000,1000
38,37,na,41,2000,1000
85,37,na,34,2000,1000
39,38,na,11,2000,1000
85,38,na,16,2000,1000
40,39,na,0,2000,1000
64,39,na,34,2000,1000
41,40,na,37,2000,1000
42,41,na,31,2000,1000
43,42,na,20,2000,1000
70,42,na,3,2000,1000
44,42,na,4,2000,1000
44,43,na,41,2000,1000
112,43,na,24,2000,1000
77,43,na,24,2000,1000
45,44,na,50,2000,1000
46,45,na,38,2000,1000
47,46,na,17,2000,1000
48,47,na,11,2000,1000
70,47,na,8,2000,1000
49,48,na,20,2000,1000
99,48,na,43,2000,1000
50,49,na,25,2000,1000
51,50,na,32,2000,1000
82,50,na,22,2000,1000
52,51,na,26,2000,1000
76,51,na,27,2000,1000
53,52,na,38,2000,1000
108,52,na,24,2000,1000
54,53,na,17,2000,1000
82,53,na,20,2000,1000
55,54,na,32,2000,1000
56,55,na,9,2000,1000
112,55,na,17,2000,1000
57,56,na,44,2000,1000
100,56,na,9,2000,1000
58,57,na,24,2000,1000
59,58,na,40,2000,1000
60,59,na,8,2000,1000
107,59,na,9,2000,1000
61,60,na,15,2000,1000
69,60,na,39,2000,1000
62,61,na,40,2000,1000
63,62,na,6,2000,1000
64,63,na,30,2000,1000
65,64,na,14,2000,1000
93,64,na,26,2000,1000
66,65,na,21,2000,1000
67,66,na,23,2000,1000
68,67,na,25,2000,1000
69,68,na,16,2000,1000
108,68,na,11,2000,1000
70,69,na,26,2000,1000
94,69,na,24,2000,1000
109,69,na,26,2000,1000
71,70,na,17,2000,1000
72,71,na,29,2000,1000
73,72,na,25,2000,1000
74,73,na,38,2000,1000
107,73,na,8,2000,1000
75,74,na,14,2000,1000
107,74,na,19,2000,1000
76,75,na,43,2000,1000
77,76,na,23,2000,1000
78,77,na,20,2000,1000
102,77,na,25,2000,1000
79,78,na,16,2000,1000
80,79,na,15,2000,1000
81,80,na,17,2000,1000
82,81,na,28,2000,1000
86,81,na,36,2000,1000
83,82,na,48,2000,1000
87,82,na,27,2000,1000
84,83,na,30,2000,1000
85,84,na,32,2000,1000
86,85,na,25,2000,1000
87,86,na,24,2000,1000
88,87,na,27,2000,1000
89,88,na,35,2000,1000
90,89,na,29,2000,1000
91,90,na,14,2000,1000
92,91,na,52,2000,1000
115,91,na,12,2000,1000
93,92,na,19,2000,1000
94,93,na,15,2000,1000
95,94,na,24,2000,1000
96,95,na,13,2000,1000
104,95,na,26,2000,1000
97,96,na,29,2000,1000
98,97,na,28,2000,1000
99,98,na,28,2000,1000
100,99,na,14,2000,1000
101,100,na,28,2000,1000
102,101,na,21,2000,1000
103,102,na,15,2000,1000
104,103,na,22,2000,1000
105,104,na,34,2000,1000
106,105,na,26,2000,1000
108,105,na,11,2000,1000
107,106,na,26,2000,1000
108,107,na,28,2000,1000
109,108,na,15,2000,1000
110,109,na,39,2000,1000
111,110,na,22,2000,1000
112,111,na,24,2000,1000
116,111,na,23,2000,1000
113,112,na,15,2000,1000
114,113,na,34,2000,1000
115,114,na,19,2000,1000
116,115,na,23,2000,1000
117,116,na,27,2000,1000
118,117,na,39,2000,1000
