fromnode,tonode,direction,length,capacity,cost
0,1,na,19,2000,1000
0,119,na,28,2000,1000
0,105,na,23,2000,1000
1,2,na,21,2000,1000
1,63,na,27,2000,1000
2,3,na,30,2000,1000
2,50,na,37,2000,1000
3,4,na,31,2000,1000
4,5,na,29,2000,1000
5,6,na,43,2000,1000
6,7,na,23,2000,1000
7,8,na,25,2000,1000
7,57,na,12,2000,1000
7,97,na,48,2000,1000
8,9,na,30,2000,1000
8,98,na,3,2000,1000
9,10,na,28,2000,1000
9,65,na,29,2000,1000
9,69,na,36,2000,1000
10,11,na,36,2000,1000
11,12,na,28,2000,1000
11,80,na,22,2000,1000
11,45,na,35,2000,1000
11,46,na,31,2000,1000
12,13,na,23,2000,1000
12,114,na,35,2000,1000
13,14,na,2,2000,1000
13,17,na,37,2000,1000
13,68,na,26,2000,1000
13,100,na,41,2000,1000
14,15,na,29,2000,1000
15,16,na,37,2000,1000
16,17,na,22,2000,1000
16,46,na,25,2000,1000
16,51,na,39,2000,1000
17,18,na,20,2000,1000
17,87,na,3,2000,1000
17,88,na,14,2000,1000
18,19,na,22,2000,1000
19,20,na,22,2000,1000
20,21,na,21,2000,1000
20,116,na,31,2000,1000
21,22,na,47,2000,1000
21,29,na,23,2000,1000
22,23,na,21,2000,1000
23,24,na,7,2000,1000
23,48,na,21,2000,1000
23,85,na,25,2000,1000
23,118,na,43,2000,1000
24,25,na,23,2000,1000
25,26,na,40,2000,1000
25,52,na,17,2000,1000
25,30,na,14,2000,1000
26,27,na,33,2000,1000
26,83,na,44,2000,1000
27,28,na,40,2000,1000
27,109,na,29,2000,1000
28,29,na,19,2000,1000
28,42,na,19,2000,1000
29,30,na,21,2000,1000
29,77,na,13,2000,1000
30,31,na,33,2000,1000
31,32,na,21,2000,1000
32,33,na,36,2000,1000
33,34,na,44,2000,1000
33,91,na,16,2000,1000
34,35,na,29,2000,1000
34,95,na,6,2000,1000
34,75,na,23,2000,1000
35,36,na,38,2000,1000
35,59,na,6,2000,1000
36,37,na,10,2000,1000
37,38,na,41,2000,1000
37,64,na,29,2000,1000
38,39,na,18,2000,1000
39,40,na,15,2000,1000
40,41,na,12,2000,1000
41,42,na,27,2000,1000
42,43,na,28,2000,1000
42,50,na,15,2000,1000
42,66,na,22,2000,1000
43,44,na,17,2000,1000
44,45,na,37,2000,1000
45,46,na,18,2000,1000
46,47,na,31,2000,1000
47,48,na,19,2000,1000
48,49,na,33,2000,1000
49,50,na,18,2000,1000
50,51,na,43,2000,1000
51,52,na,21,2000,1000
52,53,na,33,2000,1000
53,54,na,33,2000,1000
54,55,na,19,2000,1000
54,87,na,29,2000,1000
55,56,na,24,2000,1000
56,57,na,28,2000,1000
57,58,na,31,2000,1000
58,59,na,24,2000,1000
58,71,na,37,2000,1000
59,60,na,14,2000,1000
60,61,na,23,2000,1000
61,62,na,33,2000,1000
61,93,na,30,2000,1000
62,63,na,16,2000,1000
62,93,na,32,2000,1000
63,64,na,34,2000,1000
64,65,na,25,2000,1000
64,103,na,25,2000,1000
64,107,na,21,2000,1000
65,66,na,21,2000,1000
65,70,na,8,2000,1000
66,67,na,20,2000,1000
66,84,na,27,2000,1000
67,68,na,18,2000,1000
68,69,na,29,2000,1000
69,70,na,15,2000,1000
70,71,na,15,2000,1000
71,72,na,32,2000,1000
72,73,na,17,2000,1000
72,109,na,34,2000,1000
73,74,na,42,2000,1000
74,75,na,19,2000,1000
75,76,na,23,2000,1000
76,77,na,28,2000,1000
77,78,na,25,2000,1000
78,79,na,23,2000,1000
79,80,na,12,2000,1000
80,81,na,20,2000,1000
81,82,na,40,2000,1000
82,83,na,19,2000,1000
83,84,na,28,2000,1000
84,85,na,13,2000,1000
85,86,na,14,2000,1000
86,87,na,28,2000,1000
87,88,na,27,2000,1000
87,105,na,25,2000,1000
88,89,na,23,2000,1000
89,90,na,19,2000,1000
90,91,na,14,2000,1000
91,92,na,29,2000,1000
92,93,na,29,2000,1000
93,94,na,29,2000,1000
94,95,na,9,2000,1000
94,99,na,4,2000,1000
95,96,na,31,2000,1000
96,97,na,30,2000,1000
97,98,na,15,2000,1000
97,102,na,22,2000,1000
98,99,na,31,2000,1000
98,101,na,39,2000,1000
99,100,na,18,2000,1000
99,104,na,19,2000,1000
100,101,na,16,2000,1000
101,102,na,22,2000,1000
102,103,na,20,2000,1000
103,104,na,32,2000,1000
104,105,na,39,2000,1000
105,106,na,38,2000,1000
106,107,na,37,2000,1000
107,108,na,27,2000,1000
108,109,na,23,2000,1000
109,110,na,12,2000,1000
110,111,na,31,2000,1000
111,112,na,36,2000,1000
112,113,na,26,2000,1000
112,118,na,14,2000,1000
113,114,na,19,2000,1000
113,116,na,19,2000,1000
114,115,na,17,2000,1000
115,116,na,49,2000,1000
116,117,na,12,2000,1000
117,118,na,34,2000,1000
118,119,na,25,2000,1000
1,0,na,19,2000,1000
119,0,na,28,2000,1000
105,0,na,23,2000,1000
2,1,na,21,2000,1000
63,1,na,27,2000,1000
3,2,na,30,2000,1000
50,2,na,37,2000,1000
4,3,na,31,2000,1000
5,4,na,29,2000,1000
6,5,na,43,2000,1000
7,6,na,23,2000,1000
8,7,na,25,2000,1000
57,7,na,12,2000,1000
97,7,na,48,2000,1000
9,8,na,30,2000,1000
98,8,na,3,2000,1000
10,9,na,28,2000,1000
65,9,na,29,2000,1000
69,9,na,36,2000,1000
11,10,na,36,2000,1000
12,11,na,28,2000,1000
80,11,na,22,2000,1000
45,11,na,35,2000,1000
46,11,na,31,2000,1000
13,12,na,23,2000,1000
114,12,na,35,2000,1000
14,13,na,2,2000,1000
17,13,na,37,2000,1000
68,13,na,26,2000,1000
100,13,na,41,2000,1000
15,14,na,29,2000,1000
16,15,na,37,2000,1000
17,16,na,22,2000,1000
46,16,na,25,2000,1000
51,16,na,39,2000,1000
18,17,na,20,2000,1000
87,17,na,3,2000,1000
88,17,na,14,2000,1000
19,18,na,22,2000,1000
20,19,na,22,2000,1000
21,20,na,21,2000,1000
116,20,na,31,2000,1000
22,21,na,47,2000,1000
29,21,na,23,2000,1000
23,22,na,21,2000,1000
24,23,na,7,2000,1000
48,23,na,21,2000,1000
85,23,na,25,2000,1000
118,23,na,43,2000,1000
25,24,na,23,2000,1000
26,25,na,40,2000,1000
52,25,na,17,2000,1000
30,25,na,14,2000,1000
27,26,na,33,2000,1000
83,26,na,44,2000,1000
28,27,na,40,2000,1000
109,27,na,29,2000,1000
29,28,na,19,2000,1000
42,28,na,19,2000,1000
30,29,na,21,2000,1000
77,29,na,13,2000,1000
31,30,na,33,2000,1000
32,31,na,21,2000,1000
33,32,na,36,2000,1000
34,33,na,44,2000,1000
91,33,na,16,2000,1000
35,34,na,29,2000,1000
95,34,na,6,2000,1000
75,34,na,23,2000,1000
36,35,na,38,2000,1000
59,35,na,6,2000,1000
37,36,na,10,2000,1000
38,37,na,41,2000,1000
64,37,na,29,2000,1000
39,38,na,18,2000,1000
40,39,na,15,2000,1000
41,40,na,12,2000,1000
42,41,na,27,2000,1000
43,42,na,28,2000,1000
50,42,na,15,2000,1000
66,42,na,22,2000,1000
44,43,na,17,2000,1000
45,44,na,37,2000,1000
46,45,na,18,2000,1000
47,46,na,31,2000,1000
48,47,na,19,2000,1000
49,48,na,33,2000,1000
50,49,na,18,2000,1000
51,50,na,43,2000,1000
52,51,na,21,2000,1000
53,52,na,33,2000,1000
