fromnode,tonode,direction,length,capacity,cost
40,57,0,1.17,2000,1000
2,12,1,4.33,2000,1000
49,50,0,1.04,2000,1000
48,49,0,0.749,2000,1000
51,52,0,2.23,2000,1000
52,53,0,1.21,2000,1000
54,55,0,0.915,2000,1000
58,59,0,2.32,2000,1000
26,46,0,0.845,2000,1000
15,48,0,4.21,2000,1000
3,15,1,4.48,2000,1000
5,25,1,11.4,2000,1000
25,59,0,14.1,2000,1000
39,54,0,3.51,2000,1000
39,58,0,12.3,2000,1000
6,24,1,3.47,2000,1000
24,58,0,8.09,2000,1000
8,59,1,10.3,2000,1000
8,45,1,12.5,2000,1000
44,45,0,10.1,2000,1000
38,57,0,8.34,2000,1000
7,57,1,3.04,2000,1000
7,39,1,5.27,2000,1000
7,44,1,1.09,2000,1000
7,43,1,1.75,2000,1000
7,41,1,1.12,2000,1000
7,42,1,1.89,2000,1000
38,42,0,13.1,2000,1000
4,38,1,3.68,2000,1000
22,55,0,1.96,2000,1000
21,56,0,1.92,2000,1000
6,56,1,4.55,2000,1000
55,56,0,2.16,2000,1000
4,54,1,4.11,2000,1000
19,21,0,4.72,2000,1000
4,36,1,2.55,2000,1000
4,35,1,4.43,2000,1000
33,35,0,2.44,2000,1000
3,33,1,2.77,2000,1000
34,36,0,3.32,2000,1000
18,34,0,2.33,2000,1000
18,52,0,4.39,2000,1000
17,18,0,7.41,2000,1000
1,17,1,3.22,2000,1000
31,32,0,5.11,2000,1000
32,49,0,4.95,2000,1000
5,23,1,6.58,2000,1000
6,23,1,8.13,2000,1000
6,37,1,2.94,2000,1000
31,37,0,6.3,2000,1000
2,31,1,3.24,2000,1000
16,53,0,0.892,2000,1000
29,51,0,1.34,2000,1000
3,53,1,5.68,2000,1000
1,51,1,6.77,2000,1000
2,13,1,6.68,2000,1000
11,13,0,6.51,2000,1000
5,11,1,15.2,2000,1000
5,20,1,6.09,2000,1000
2,20,1,12.6,2000,1000
30,50,0,1.25,2000,1000
14,48,0,1.43,2000,1000
2,50,1,4.57,2000,1000
3,48,1,5.25,2000,1000
9,10,0,5.76,2000,1000
10,12,0,3.48,2000,1000
9,12,0,3.17,2000,1000
9,46,0,11.2,2000,1000
46,47,0,11.6,2000,1000
15,27,0,4.17,2000,1000
15,28,0,9.34,2000,1000
28,47,0,4.42,2000,1000
1,47,1,3.4,2000,1000
57,40,0,1.17,2000,1000
12,2,1,4.33,2000,1000
50,49,0,1.04,2000,1000
49,48,0,0.749,2000,1000
52,51,0,2.23,2000,1000
53,52,0,1.21,2000,1000
55,54,0,0.915,2000,1000
59,58,0,2.32,2000,1000
46,26,0,0.845,2000,1000
48,15,0,4.21,2000,1000
15,3,1,4.48,2000,1000
25,5,1,11.4,2000,1000
59,25,0,14.1,2000,1000
54,39,0,3.51,2000,1000
58,39,0,12.3,2000,1000
24,6,1,3.47,2000,1000
58,24,0,8.09,2000,1000
59,8,1,10.3,2000,1000
45,8,1,12.5,2000,1000
45,44,0,10.1,2000,1000
57,38,0,8.34,2000,1000
57,7,1,3.04,2000,1000
39,7,1,5.27,2000,1000
44,7,1,1.09,2000,1000
43,7,1,1.75,2000,1000
41,7,1,1.12,2000,1000
42,7,1,1.89,2000,1000
42,38,0,13.1,2000,1000
38,4,1,3.68,2000,1000
55,22,0,1.96,2000,1000
56,21,0,1.92,2000,1000
56,6,1,4.55,2000,1000
56,55,0,2.16,2000,1000
54,4,1,4.11,2000,1000
21,19,0,4.72,2000,1000
36,4,1,2.55,2000,1000
35,4,1,4.43,2000,1000
35,33,0,2.44,2000,1000
33,3,1,2.77,2000,1000
36,34,0,3.32,2000,1000
34,18,0,2.33,2000,1000
52,18,0,4.39,2000,1000
18,17,0,7.41,2000,1000
17,1,1,3.22,2000,1000
32,31,0,5.11,2000,1000
49,32,0,4.95,2000,1000
23,5,1,6.58,2000,1000
23,6,1,8.13,2000,1000
37,6,1,2.94,2000,1000
37,31,0,6.3,2000,1000
31,2,1,3.24,2000,1000
53,16,0,0.892,2000,1000
51,29,0,1.34,2000,1000
53,3,1,5.68,2000,1000
51,1,1,6.77,2000,1000
13,2,1,6.68,2000,1000
13,11,0,6.51,2000,1000
11,5,1,15.2,2000,1000
20,5,1,6.09,2000,1000
20,2,1,12.6,2000,1000
50,30,0,1.25,2000,1000
48,14,0,1.43,2000,1000
50,2,1,4.57,2000,1000
48,3,1,5.25,2000,1000
10,9,0,5.76,2000,1000
12,10,0,3.48,2000,1000
12,9,0,3.17,2000,1000
46,9,0,11.2,2000,1000
47,46,0,11.6,2000,1000
27,15,0,4.17,2000,1000
28,15,0,9.34,2000,1000
47,28,0,4.42,2000,1000
47,1,1,3.4,2000,1000
