Nodenum,X_Lon,Y_Lat,type,flow,cost
1,-90.1528771,35.06788018,gate_stations,101,1000
2,-89.8846547,35.07628415,gate_stations,319,1000
3,-89.99692489,35.10624811,gate_stations,261,1000
4,-90.03037195,35.17489556,gate_stations,162,1000
5,-89.74525165,35.18425623,gate_stations,191,1000
6,-89.90792435,35.18483184,gate_stations,240,1000
7,-89.9594244,35.26251025,gate_stations,51,1000
8,-89.7989365,35.37478429,gate_stations,109,1000
9,-89.93483376,35.02200421,23kv_substations,-9,1000
10,-89.88533576,35.03891893,23kv_substations,-38,1000
11,-89.7470718,35.04731123,23kv_substations,-50,1000
12,-89.91818483,35.04783119,23kv_substations,-22,1000
13,-89.81891665,35.04933103,23kv_substations,-78,1000
14,-89.96588758,35.06495024,23kv_substations,-23,1000
15,-89.99968282,35.06555153,23kv_substations,-14,1000
16,-90.04740228,35.08433987,23kv_substations,-19,1000
17,-90.13834649,35.09451732,23kv_substations,-1,1000
18,-90.06248096,35.11245117,23kv_substations,-10,1000
19,-89.96657715,35.13383482,23kv_substations,-41,1000
20,-89.78389092,35.13918125,23kv_substations,-66,1000
21,-89.95578468,35.17382122,23kv_substations,-23,1000
22,-89.98706386,35.17518113,23kv_substations,-37,1000
23,-89.81813482,35.18459978,23kv_substations,-58,1000
24,-89.90824016,35.21637929,23kv_substations,-55,1000
25,-89.71012181,35.27060382,23kv_substations,-18,1000
26,-90.04662133,35.00632702,12kv_substations,-22,1000
27,-90.01307526,35.03061716,12kv_substations,-35,1000
28,-90.09137493,35.04504092,12kv_substations,-21,1000
29,-90.07908822,35.08246154,12kv_substations,-17,1000
30,-89.93547342,35.08590206,12kv_substations,-24,1000
31,-89.88182992,35.10483564,12kv_substations,-51,1000
32,-89.93362846,35.11497022,12kv_substations,-32,1000
33,-90.00765882,35.12194153,12kv_substations,-42,1000
34,-90.04777509,35.12694612,12kv_substations,-16,1000
35,-90.03102826,35.1350581,12kv_substations,-24,1000
36,-90.04494324,35.15489348,12kv_substations,-23,1000
37,-89.8876369,35.16339022,12kv_substations,-49,1000
38,-90.0465051,35.20551458,12kv_substations,-16,1000
39,-89.9642262,35.21518599,12kv_substations,-18,1000
40,-89.99401726,35.23738908,12kv_substations,-20,1000
41,-89.97098838,35.2582922,12kv_substations,-3,1000
42,-89.98050869,35.26072295,12kv_substations,-3,1000
43,-89.97637145,35.26903383,12kv_substations,-2,1000
44,-89.96057907,35.27245564,12kv_substations,-5,1000
45,-89.89458266,35.32766401,12kv_substations,-18,1000
46,-90.0462451,34.99870114,intersections,0,1000
47,-90.13989308,35.04332586,intersections,0,1000
48,-89.95459247,35.07395408,intersections,0,1000
49,-89.94636502,35.07422819,intersections,0,1000
50,-89.9349163,35.07460962,intersections,0,1000
51,-90.07849036,35.07034312,intersections,0,1000
52,-90.05713016,35.07335974,intersections,0,1000
53,-90.04443924,35.07665911,intersections,0,1000
54,-89.98996871,35.19157383,intersections,0,1000
55,-89.97858314,35.1911553,intersections,0,1000
56,-89.95537453,35.1911553,intersections,0,1000
57,-89.98442277,35.24435655,intersections,0,1000
58,-89.84448567,35.26733567,intersections,0,1000
59,-89.83611476,35.2870823,intersections,0,1000
