fromnode,tonode,direction,length,capacity,cost
46,48,0,2.55,2000,1000
38,41,0,2.18,2000,1000
2,3,0,11.1,2000,1000
10,30,1,5.26,2000,1000
32,36,0,12.2,2000,1000
8,29,1,2.81,2000,1000
12,41,1,5.85,2000,1000
6,31,1,4.22,2000,1000
4,25,1,5.38,2000,1000
9,10,0,8.66,2000,1000
45,46,0,3.35,2000,1000
8,34,1,9.48,2000,1000
2,20,1,6.4,2000,1000
43,45,0,1.5,2000,1000
3,21,1,9.98,2000,1000
20,21,0,10.9,2000,1000
2,16,1,9.15,2000,1000
1,16,1,11.1,2000,1000
1,17,1,9.38,2000,1000
1,4,0,6.87,2000,1000
19,20,0,4.52,2000,1000
18,19,0,5.71,2000,1000
4,18,1,6.63,2000,1000
4,26,1,19.3,2000,1000
5,20,1,3.97,2000,1000
19,23,0,5.17,2000,1000
6,18,1,6.82,2000,1000
6,25,1,6.88,2000,1000
6,23,1,5.64,2000,1000
5,23,1,4.51,2000,1000
5,22,1,4.24,2000,1000
22,29,0,6.17,2000,1000
5,27,1,3.34,2000,1000
6,27,1,8.52,2000,1000
9,25,1,12.3,2000,1000
8,27,1,1.45,2000,1000
8,31,1,7.24,2000,1000
9,31,1,9.45,2000,1000
9,28,1,8.96,2000,1000
26,28,0,4.74,2000,1000
24,26,0,9.22,2000,1000
7,24,1,7.82,2000,1000
7,30,1,10.4,2000,1000
26,30,0,4.57,2000,1000
10,28,1,8.54,2000,1000
7,32,1,4.64,2000,1000
10,32,1,10.4,2000,1000
9,35,1,5.32,2000,1000
11,35,1,11.3,2000,1000
11,31,1,11.5,2000,1000
29,33,0,9.21,2000,1000
33,34,0,4.93,2000,1000
11,34,1,2.24,2000,1000
11,39,1,4.45,2000,1000
33,37,0,11.1,2000,1000
37,39,0,10.1,2000,1000
39,40,0,14,2000,1000
13,37,1,11.1,2000,1000
13,45,1,9.93,2000,1000
43,44,0,4.2,2000,1000
44,46,0,1.94,2000,1000
45,47,0,1.94,2000,1000
47,48,0,3.91,2000,1000
15,46,1,9.09,2000,1000
15,42,1,3.55,2000,1000
14,15,0,7.95,2000,1000
14,49,1,6.65,2000,1000
14,41,1,5.06,2000,1000
12,49,1,6.35,2000,1000
12,38,1,6.66,2000,1000
16,18,0,3.44,2000,1000
2,46,0,2.55,2000,1000
41,38,0,2.18,2000,1000
3,2,0,11.1,2000,1000
30,10,1,5.26,2000,1000
36,32,0,12.2,2000,1000
29,8,1,2.81,2000,1000
41,12,1,5.85,2000,1000
31,6,1,4.22,2000,1000
25,4,1,5.38,2000,1000
10,9,0,8.66,2000,1000
46,45,0,3.35,2000,1000
34,8,1,9.48,2000,1000
20,2,1,6.4,2000,1000
45,43,0,1.5,2000,1000
21,3,1,9.98,2000,1000
21,20,0,10.9,2000,1000
16,2,1,9.15,2000,1000
16,1,1,11.1,2000,1000
17,1,1,9.38,2000,1000
4,1,0,6.87,2000,1000
20,19,0,4.52,2000,1000
19,18,0,5.71,2000,1000
18,4,1,6.63,2000,1000
26,4,1,19.3,2000,1000
20,5,1,3.97,2000,1000
23,19,0,5.17,2000,1000
18,6,1,6.82,2000,1000
25,6,1,6.88,2000,1000
23,6,1,5.64,2000,1000
23,5,1,4.51,2000,1000
22,5,1,4.24,2000,1000
29,22,0,6.17,2000,1000
27,5,1,3.34,2000,1000
27,6,1,8.52,2000,1000
25,9,1,12.3,2000,1000
27,8,1,1.45,2000,1000
31,8,1,7.24,2000,1000
31,9,1,9.45,2000,1000
28,9,1,8.96,2000,1000
28,26,0,4.74,2000,1000
26,24,0,9.22,2000,1000
24,7,1,7.82,2000,1000
30,7,1,10.4,2000,1000
30,26,0,4.57,2000,1000
28,10,1,8.54,2000,1000
32,7,1,4.64,2000,1000
32,10,1,10.4,2000,1000
35,9,1,5.32,2000,1000
35,11,1,11.3,2000,1000
31,11,1,11.5,2000,1000
33,29,0,9.21,2000,1000
34,33,0,4.93,2000,1000
34,11,1,2.24,2000,1000
39,11,1,4.45,2000,1000
37,33,0,11.1,2000,1000
39,37,0,10.1,2000,1000
40,39,0,14,2000,1000
37,13,1,11.1,2000,1000
45,13,1,9.93,2000,1000
44,43,0,4.2,2000,1000
46,44,0,1.94,2000,1000
47,45,0,1.94,2000,1000
48,47,0,3.91,2000,1000
46,15,1,9.09,2000,1000
42,15,1,3.55,2000,1000
15,14,0,7.95,2000,1000
49,14,1,6.65,2000,1000
41,14,1,5.06,2000,1000
49,12,1,6.35,2000,1000
38,12,1,6.66,2000,1000
18,16,0,3.44,2000,1000
